[INFO ] 2016-05-03 00:01:02,945 com.dataStore.gossip.GossipSenderThread.class pool-1-thread-3 Sent packet form machine ip : 130.126.28.10 to machine ip : 130.126.28.11
[INFO ] 2016-05-03 00:01:03,025 com.dataStore.gossip.GossipListenerThread.class Thread-1 Received packet from: /130.126.28.11 at port: 40946
[INFO ] 2016-05-03 00:01:03,025 com.dataStore.gossip.GossipListenerThread.class Thread-1 ******machineId = 130.126.28.10:1462251660400 Heartbeat = 7 ****************
[INFO ] 2016-05-03 00:01:03,026 com.dataStore.gossip.GossipListenerThread.class Thread-1 ******machineId = 130.126.28.11:1462251659001 Heartbeat = 10 ****************
[INFO ] 2016-05-03 00:01:03,303 com.dataStore.main.Node.class main User want to list the current members
[INFO ] 2016-05-03 00:01:03,303 com.dataStore.main.Node.class main *********MachineId********	||	**Last Seen**	||	Hearbeat	||	Is Active?	||	PID	||	Is leader?
[INFO ] 2016-05-03 00:01:03,303 com.dataStore.main.Node.class main 130.126.28.10:1462251660400	||	1462251662944	||	7		||	true		||	2	||	false
[INFO ] 2016-05-03 00:01:03,303 com.dataStore.main.Node.class main 130.126.28.11:1462251659001	||	1462251663026	||	10		||	true		||	1	||	true
[INFO ] 2016-05-03 00:01:03,444 com.dataStore.gossip.GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.10:1462251660400 || time stamp: 1462251663444 || heartbeat: 8 || status: true
[INFO ] 2016-05-03 00:01:03,444 com.dataStore.gossip.GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.11:1462251659001 || time stamp: 1462251663026 || heartbeat: 10 || status: true
[INFO ] 2016-05-03 00:01:03,445 com.dataStore.gossip.GossipSenderThread.class pool-1-thread-2 Sent packet form machine ip : 130.126.28.10 to machine ip : 130.126.28.11
[INFO ] 2016-05-03 00:01:03,525 com.dataStore.gossip.GossipListenerThread.class Thread-1 Received packet from: /130.126.28.11 at port: 38973
[INFO ] 2016-05-03 00:01:03,525 com.dataStore.gossip.GossipListenerThread.class Thread-1 ******machineId = 130.126.28.10:1462251660400 Heartbeat = 8 ****************
[INFO ] 2016-05-03 00:01:03,525 com.dataStore.gossip.GossipListenerThread.class Thread-1 ******machineId = 130.126.28.11:1462251659001 Heartbeat = 11 ****************
[INFO ] 2016-05-03 00:01:03,944 com.dataStore.gossip.GossipSenderThread.class pool-1-thread-4 packet info: id 130.126.28.10:1462251660400 || time stamp: 1462251663944 || heartbeat: 9 || status: true
[INFO ] 2016-05-03 00:01:03,944 com.dataStore.gossip.GossipSenderThread.class pool-1-thread-4 packet info: id 130.126.28.11:1462251659001 || time stamp: 1462251663526 || heartbeat: 11 || status: true
